emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,acc_1,acc_2,acc_3,ori_1,ori_2,ori_3,ori_4
-6.0,9.0,-8.0,1.0,-7.0,-4.0,-3.0,2.0,0.966796875,-0.212890625,0.1474609375,-0.42144775390625,-0.4801025390625,-0.37689208984375,0.67071533203125
42.0,20.0,10.0,-11.0,-5.0,-24.0,-18.0,-15.0,0.96533203125,-0.177734375,0.15576171875,-0.42108154296875,-0.48187255859375,-0.37628173828125,0.6700439453125
-19.0,-21.0,-6.0,-6.0,0.0,3.0,0.0,-5.0,0.97900390625,-0.19384765625,0.18408203125,-0.42120361328125,-0.48260498046875,-0.37615966796875,0.66949462890625
10.0,5.0,-12.0,3.0,1.0,5.0,5.0,13.0,0.9912109375,-0.19287109375,0.2373046875,-0.420654296875,-0.482666015625,-0.37628173828125,0.66973876953125
21.0,16.0,1.0,-2.0,-1.0,-6.0,-2.0,-11.0,0.9892578125,-0.1884765625,0.2646484375,-0.419921875,-0.48187255859375,-0.37701416015625,0.6702880859375
-1.0,-3.0,12.0,15.0,5.0,1.0,5.0,-23.0,0.98193359375,-0.185546875,0.25537109375,-0.419189453125,-0.48126220703125,-0.37762451171875,0.6708984375
1.0,1.0,-12.0,-2.0,9.0,6.0,2.0,32.0,0.98681640625,-0.1962890625,0.2275390625,-0.4190673828125,-0.48046875,-0.3779296875,0.67138671875
11.0,-18.0,3.0,12.0,1.0,6.0,6.0,55.0,0.98681640625,-0.1962890625,0.2275390625,-0.4190673828125,-0.48046875,-0.3779296875,0.67138671875
40.0,-5.0,-15.0,-3.0,-17.0,-3.0,6.0,-24.0,0.966796875,-0.2060546875,0.1875,-0.418701171875,-0.4798583984375,-0.3778076171875,0.672119140625
-28.0,-3.0,-5.0,-23.0,-6.0,-1.0,-3.0,-12.0,0.95947265625,-0.2177734375,0.19873046875,-0.4173583984375,-0.47943115234375,-0.3775634765625,0.67333984375
18.0,14.0,9.0,4.0,9.0,1.0,3.0,-45.0,0.9521484375,-0.17529296875,0.16015625,-0.41583251953125,-0.4801025390625,-0.377685546875,0.67376708984375
16.0,-9.0,-10.0,-33.0,-5.0,1.0,1.0,62.0,0.9521484375,-0.17529296875,0.16015625,-0.41583251953125,-0.4801025390625,-0.377685546875,0.67376708984375
21.0,33.0,24.0,11.0,13.0,-6.0,-4.0,23.0,0.95361328125,-0.18408203125,0.16552734375,-0.41400146484375,-0.48095703125,-0.3778076171875,0.67425537109375
-48.0,12.0,-2.0,25.0,8.0,7.0,5.0,-51.0,0.970703125,-0.19091796875,0.2041015625,-0.41229248046875,-0.48089599609375,-0.37847900390625,0.67498779296875
-35.0,34.0,16.0,-3.0,-5.0,-13.0,-17.0,21.0,0.94873046875,-0.18701171875,0.16845703125,-0.41107177734375,-0.48095703125,-0.3785400390625,0.67559814453125
