emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,acc_1,acc_2,acc_3,ori_1,ori_2,ori_3,ori_4
-2.0,0.0,-2.0,0.0,-1.0,-3.0,-1.0,-2.0,0.96044921875,-0.16845703125,0.2294921875,-0.39630126953125,-0.47979736328125,-0.38970947265625,0.6788330078125
0.0,0.0,7.0,1.0,-2.0,-2.0,-1.0,-1.0,0.96044921875,-0.16845703125,0.2294921875,-0.39630126953125,-0.47979736328125,-0.38970947265625,0.6788330078125
-7.0,0.0,-3.0,0.0,-1.0,-3.0,-1.0,1.0,0.96044921875,-0.16845703125,0.2294921875,-0.39630126953125,-0.47979736328125,-0.38970947265625,0.6788330078125
0.0,1.0,6.0,-1.0,0.0,-4.0,-2.0,-9.0,0.9599609375,-0.16943359375,0.22998046875,-0.39630126953125,-0.47979736328125,-0.38970947265625,0.6788330078125
14.0,-2.0,6.0,-1.0,-4.0,-1.0,1.0,2.0,0.9638671875,-0.17724609375,0.21923828125,-0.3963623046875,-0.47979736328125,-0.38970947265625,0.6788330078125
26.0,0.0,0.0,-6.0,-1.0,-2.0,-1.0,2.0,0.96484375,-0.1796875,0.21337890625,-0.39617919921875,-0.4798583984375,-0.3892822265625,0.67919921875
-19.0,-3.0,-12.0,-4.0,-2.0,-1.0,-1.0,1.0,0.96484375,-0.1796875,0.21337890625,-0.39617919921875,-0.4798583984375,-0.3892822265625,0.67919921875
53.0,2.0,2.0,3.0,0.0,2.0,2.0,18.0,0.958984375,-0.17724609375,0.22265625,-0.39556884765625,-0.480224609375,-0.388427734375,0.67974853515625
-16.0,-1.0,-9.0,-3.0,-2.0,-1.0,-1.0,8.0,0.97705078125,-0.16943359375,0.25048828125,-0.39453125,-0.48040771484375,-0.38800048828125,0.68048095703125
4.0,1.0,-4.0,2.0,2.0,-2.0,0.0,-3.0,0.96875,-0.1259765625,0.24951171875,-0.3929443359375,-0.480712890625,-0.38800048828125,0.68115234375
-34.0,-6.0,6.0,0.0,0.0,-1.0,-2.0,-7.0,0.96875,-0.1259765625,0.24951171875,-0.3929443359375,-0.480712890625,-0.38800048828125,0.68115234375
-7.0,-2.0,-2.0,-3.0,-1.0,-1.0,-2.0,-5.0,0.96826171875,-0.11962890625,0.24560546875,-0.39215087890625,-0.4808349609375,-0.388427734375,0.6812744140625
