time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543517296.8740864,-1.0,-1.0,-5.0,-6.0,-2.0,0.0,-1.0,-2.0,-0.06768798828125,0.00146484375,-0.47412109375,0.87786865234375,0.06103515625,-0.1357421875,1.04736328125
1543517296.8871229,-1.0,2.0,9.0,3.0,0.0,-1.0,-1.0,-1.0,-0.06768798828125,0.00152587890625,-0.47412109375,0.87786865234375,0.0576171875,-0.13818359375,1.04443359375
1543517296.896063,-1.0,-2.0,-3.0,-1.0,-2.0,-1.0,-1.0,-1.0,-0.0677490234375,0.0015869140625,-0.47406005859375,0.87786865234375,0.05908203125,-0.1455078125,1.0458984375
1543517296.9111302,1.0,-2.0,-11.0,-3.0,-1.0,-1.0,-1.0,-1.0,-0.0677490234375,0.0015869140625,-0.47406005859375,0.87786865234375,0.05908203125,-0.1455078125,1.0458984375
1543517296.9340422,-1.0,-4.0,-7.0,2.0,1.0,-2.0,0.0,-1.0,-0.06768798828125,0.00152587890625,-0.47406005859375,0.87786865234375,0.06201171875,-0.140625,1.04736328125
1543517296.9470363,-1.0,-1.0,-2.0,1.0,-2.0,-2.0,-1.0,0.0,-0.067626953125,0.00140380859375,-0.47406005859375,0.87786865234375,0.06005859375,-0.13623046875,1.05126953125
1543517296.9560294,-2.0,-1.0,-6.0,-5.0,-1.0,-1.0,0.0,-2.0,-0.067626953125,0.00146484375,-0.47406005859375,0.87786865234375,0.052734375,-0.1337890625,1.04931640625
1543517296.9710238,-2.0,2.0,-6.0,5.0,1.0,1.0,-3.0,-1.0,-0.067626953125,0.00146484375,-0.47406005859375,0.87786865234375,0.052734375,-0.1337890625,1.04931640625
1543517296.9940088,-1.0,-1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,-0.0677490234375,0.0013427734375,-0.47393798828125,0.8779296875,0.0634765625,-0.13427734375,1.0537109375
1543517297.0160155,0.0,1.0,-1.0,-2.0,0.0,-2.0,-1.0,-2.0,-0.06805419921875,0.0013427734375,-0.473876953125,0.8779296875,0.06396484375,-0.13916015625,1.0517578125
