time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543517697.4042957,0.0,-4.0,-70.0,-7.0,1.0,3.0,-10.0,2.0,-0.41436767578125,-0.00665283203125,0.008544921875,0.9100341796875,0.01025390625,-0.80224609375,0.69384765625
1543517697.41825,-2.0,0.0,3.0,-3.0,-2.0,-2.0,-2.0,-5.0,-0.41436767578125,-0.006591796875,0.008544921875,0.9100341796875,0.00048828125,-0.80322265625,0.70654296875
1543517697.4272282,0.0,-8.0,-30.0,-18.0,-9.0,-3.0,7.0,1.0,-0.41436767578125,-0.006591796875,0.008544921875,0.9100341796875,0.0029296875,-0.814453125,0.69775390625
1543517697.4422195,-3.0,-15.0,-48.0,-9.0,-2.0,-5.0,-16.0,-4.0,-0.41436767578125,-0.006591796875,0.008544921875,0.9100341796875,0.0029296875,-0.814453125,0.69775390625
1543517697.464259,3.0,13.0,121.0,17.0,6.0,1.0,-5.0,-8.0,-0.41357421875,-0.00640869140625,0.008544921875,0.910400390625,0.00146484375,-0.80322265625,0.71875
1543517697.4781973,-7.0,-25.0,-17.0,-32.0,-9.0,-10.0,9.0,8.0,-0.41351318359375,-0.00604248046875,0.0086669921875,0.910400390625,-0.0048828125,-0.79150390625,0.69091796875
1543517697.4862118,4.0,-1.0,5.0,-13.0,-9.0,0.0,8.0,28.0,-0.4139404296875,-0.0059814453125,0.009033203125,0.91021728515625,0.01123046875,-0.833984375,0.7021484375
1543517697.5021846,-5.0,11.0,-5.0,10.0,0.0,-3.0,7.0,-45.0,-0.4139404296875,-0.0059814453125,0.009033203125,0.91021728515625,0.01123046875,-0.833984375,0.7021484375
1543517697.5242255,1.0,-1.0,6.0,5.0,0.0,0.0,-3.0,-8.0,-0.413818359375,-0.00592041015625,0.0091552734375,0.9102783203125,0.0107421875,-0.8056640625,0.6982421875
1543517697.5381641,-5.0,-14.0,-65.0,-23.0,-5.0,-2.0,-2.0,7.0,-0.412841796875,-0.00555419921875,0.0087890625,0.91070556640625,0.03271484375,-0.76904296875,0.7177734375
1543517697.5471587,1.0,4.0,64.0,10.0,1.0,0.0,3.0,-17.0,-0.41265869140625,-0.00445556640625,0.00860595703125,0.91082763671875,-0.00634765625,-0.76953125,0.7119140625
1543517697.5621493,-3.0,2.0,5.0,1.0,-4.0,-2.0,-3.0,-10.0,-0.41265869140625,-0.00445556640625,0.00860595703125,0.91082763671875,-0.00634765625,-0.76953125,0.7119140625
1543517697.5841901,4.0,10.0,61.0,22.0,6.0,3.0,-16.0,14.0,-0.41339111328125,-0.00372314453125,0.0084228515625,0.91046142578125,-0.0166015625,-0.798828125,0.7060546875
1543517697.5981288,1.0,8.0,32.0,14.0,6.0,1.0,-12.0,2.0,-0.41400146484375,-0.0032958984375,0.008056640625,0.91021728515625,-0.00244140625,-0.82568359375,0.70556640625
1543517697.6071253,0.0,-16.0,-82.0,-20.0,-7.0,-4.0,-1.0,8.0,-0.41375732421875,-0.00286865234375,0.0078125,0.91033935546875,-0.01708984375,-0.8017578125,0.69287109375
1543517697.6221154,-1.0,-9.0,-90.0,-23.0,-6.0,-1.0,26.0,38.0,-0.41375732421875,-0.00286865234375,0.0078125,0.91033935546875,-0.01708984375,-0.8017578125,0.69287109375
1543517697.645107,0.0,-8.0,5.0,-12.0,-11.0,-5.0,24.0,-8.0,-0.4136962890625,-0.0028076171875,0.00787353515625,0.91033935546875,-0.01904296875,-0.79345703125,0.6953125
1543517697.6581047,1.0,3.0,14.0,4.0,-1.0,-4.0,-25.0,2.0,-0.4140625,-0.00262451171875,0.00799560546875,0.91021728515625,-0.01904296875,-0.80908203125,0.693359375
1543517697.6670911,3.0,-4.0,-23.0,-8.0,-5.0,-3.0,-11.0,15.0,-0.414306640625,-0.00262451171875,0.0081787109375,0.91009521484375,-0.0166015625,-0.80322265625,0.6962890625
1543517697.6810803,-2.0,5.0,59.0,7.0,0.0,1.0,-12.0,4.0,-0.414306640625,-0.00262451171875,0.0081787109375,0.91009521484375,-0.0166015625,-0.80322265625,0.6962890625
1543517697.6890776,-1.0,2.0,53.0,-2.0,0.0,-1.0,10.0,1.0,-0.4149169921875,-0.002685546875,0.00836181640625,0.9097900390625,-0.01123046875,-0.80615234375,0.689453125
1543517697.7040691,-4.0,-4.0,-25.0,-3.0,-4.0,-2.0,3.0,-1.0,-0.4149169921875,-0.002685546875,0.00836181640625,0.9097900390625,-0.01123046875,-0.80615234375,0.689453125
1543517697.7180598,-8.0,-9.0,48.0,-20.0,-2.0,-8.0,-13.0,-31.0,-0.41485595703125,-0.002685546875,0.00836181640625,0.90985107421875,0.0068359375,-0.77978515625,0.701171875
1543517697.7270563,-5.0,4.0,29.0,4.0,-3.0,-5.0,-21.0,-2.0,-0.4154052734375,-0.00262451171875,0.00830078125,0.9095458984375,0.00244140625,-0.8037109375,0.68994140625
1543517697.742086,-2.0,7.0,19.0,11.0,0.0,-2.0,-19.0,1.0,-0.4154052734375,-0.00262451171875,0.00830078125,0.9095458984375,0.00244140625,-0.8037109375,0.68994140625
1543517697.764073,-2.0,0.0,-17.0,0.0,-2.0,-1.0,5.0,9.0,-0.4154052734375,-0.002685546875,0.00830078125,0.90960693359375,0.00927734375,-0.7900390625,0.6982421875
1543517697.7780247,-3.0,-6.0,-21.0,-6.0,-2.0,-1.0,-43.0,-10.0,-0.41534423828125,-0.002685546875,0.00830078125,0.90960693359375,-0.00244140625,-0.80419921875,0.70361328125
1543517697.787022,1.0,-1.0,-10.0,-2.0,-1.0,3.0,27.0,5.0,-0.41571044921875,-0.00262451171875,0.00823974609375,0.909423828125,-0.01171875,-0.818359375,0.697265625
1543517697.8020117,-3.0,-3.0,-25.0,-6.0,-1.0,-1.0,28.0,7.0,-0.41571044921875,-0.00262451171875,0.00823974609375,0.909423828125,-0.01171875,-0.818359375,0.697265625
1543517697.824018,0.0,-3.0,-5.0,-7.0,-4.0,-5.0,-6.0,3.0,-0.41546630859375,-0.002685546875,0.00823974609375,0.9095458984375,-0.00634765625,-0.81591796875,0.6943359375
1543517697.8469863,7.0,5.0,11.0,9.0,4.0,5.0,-10.0,1.0,-0.415283203125,-0.00286865234375,0.00836181640625,0.90960693359375,-0.005859375,-0.7900390625,0.69287109375
1543517697.86198,2.0,10.0,65.0,18.0,6.0,3.0,4.0,8.0,-0.415283203125,-0.00286865234375,0.00836181640625,0.90960693359375,-0.00244140625,-0.794921875,0.69775390625
1543517697.884967,1.0,5.0,11.0,12.0,6.0,5.0,6.0,-8.0,-0.415283203125,-0.00286865234375,0.00836181640625,0.90960693359375,-0.001953125,-0.80615234375,0.6943359375
1543517697.9069545,1.0,-1.0,21.0,-1.0,-1.0,-1.0,-12.0,6.0,-0.415283203125,-0.00286865234375,0.00836181640625,0.90960693359375,-0.001953125,-0.806640625,0.70068359375
1543517697.921946,0.0,1.0,-7.0,0.0,-4.0,-3.0,13.0,-1.0,-0.41558837890625,-0.0029296875,0.00830078125,0.90948486328125,-0.0009765625,-0.810546875,0.69677734375
1543517697.9449332,-5.0,-4.0,10.0,-3.0,-4.0,-2.0,25.0,10.0,-0.41534423828125,-0.003173828125,0.00823974609375,0.90960693359375,0.00537109375,-0.79638671875,0.697265625
1543517697.9669678,-3.0,-5.0,-6.0,-4.0,-6.0,-7.0,-23.0,-3.0,-0.41522216796875,-0.00335693359375,0.00823974609375,0.90966796875,-0.00390625,-0.7939453125,0.69482421875
1543517697.9809635,0.0,-1.0,-35.0,-1.0,3.0,6.0,25.0,12.0,-0.41522216796875,-0.00335693359375,0.00823974609375,0.90966796875,-0.0029296875,-0.80810546875,0.70068359375
1543517697.987907,0.0,-2.0,-5.0,8.0,-2.0,-4.0,-2.0,5.0,-0.41522216796875,-0.00335693359375,0.00830078125,0.90966796875,-0.005859375,-0.8076171875,0.69775390625
1543517698.0048964,-3.0,-2.0,-6.0,4.0,1.0,-3.0,-13.0,-13.0,-0.41522216796875,-0.00335693359375,0.00830078125,0.90966796875,-0.005859375,-0.8076171875,0.69775390625
1543517698.0269399,-5.0,-1.0,38.0,7.0,-3.0,-4.0,-18.0,-17.0,-0.41522216796875,-0.00335693359375,0.00830078125,0.90966796875,0.0,-0.79296875,0.69970703125
1543517698.0409286,-1.0,-2.0,18.0,-9.0,-1.0,-3.0,-9.0,-7.0,-0.41534423828125,-0.0035400390625,0.00830078125,0.90960693359375,-0.0048828125,-0.79931640625,0.68408203125
1543517698.04789,1.0,3.0,4.0,14.0,2.0,0.0,14.0,7.0,-0.41510009765625,-0.00372314453125,0.00823974609375,0.90972900390625,0.00244140625,-0.7978515625,0.70166015625
1543517698.0648613,-5.0,0.0,-3.0,10.0,0.0,-1.0,-7.0,-19.0,-0.41510009765625,-0.00372314453125,0.00823974609375,0.90972900390625,0.00244140625,-0.7978515625,0.70166015625
1543517698.0869052,-7.0,-1.0,20.0,20.0,10.0,-4.0,-4.0,-5.0,-0.41485595703125,-0.00390625,0.00811767578125,0.90985107421875,0.001953125,-0.80078125,0.7001953125
1543517698.1008933,-5.0,-10.0,-25.0,-22.0,-11.0,-1.0,-3.0,-20.0,-0.41473388671875,-0.00396728515625,0.00823974609375,0.909912109375,-0.01611328125,-0.80810546875,0.6962890625
1543517698.1078377,-6.0,5.0,-3.0,-7.0,2.0,-4.0,2.0,3.0,-0.4146728515625,-0.00421142578125,0.00836181640625,0.909912109375,-0.01123046875,-0.82275390625,0.69873046875
1543517698.1248276,12.0,18.0,-2.0,-13.0,-2.0,2.0,5.0,9.0,-0.4146728515625,-0.00421142578125,0.00836181640625,0.909912109375,-0.01123046875,-0.82275390625,0.69873046875
1543517698.1468697,-10.0,-6.0,-4.0,3.0,-2.0,2.0,2.0,23.0,-0.41412353515625,-0.0047607421875,0.0081787109375,0.91015625,0.01123046875,-0.78759765625,0.685546875
1543517698.161805,15.0,4.0,3.0,4.0,0.0,4.0,19.0,11.0,-0.4136962890625,-0.00531005859375,0.0081787109375,0.91033935546875,-0.0048828125,-0.77587890625,0.69970703125
1543517698.1678033,-9.0,45.0,7.0,1.0,-2.0,1.0,-11.0,-3.0,-0.41351318359375,-0.005859375,0.00775146484375,0.91046142578125,0.00732421875,-0.7685546875,0.69287109375
1543517698.1847923,4.0,-14.0,-7.0,-6.0,-1.0,1.0,-3.0,4.0,-0.41351318359375,-0.005859375,0.00775146484375,0.91046142578125,0.00732421875,-0.7685546875,0.69287109375
