time,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3
1543517660.2875535,-1.0,-5.0,0.0,2.0,-2.0,5.0,0.0,-4.0,-0.48162841796875,-0.01873779296875,-0.01177978515625,0.8760986328125,0.048828125,-0.892578125,0.5615234375
1543517660.3025467,-1.0,-1.0,2.0,-2.0,-7.0,-3.0,-3.0,-2.0,-0.48162841796875,-0.01873779296875,-0.01177978515625,0.8760986328125,0.044921875,-0.8896484375,0.5693359375
1543517660.3095431,0.0,1.0,-2.0,2.0,-2.0,1.0,7.0,3.0,-0.48162841796875,-0.01873779296875,-0.01177978515625,0.8760986328125,0.0458984375,-0.88818359375,0.56982421875
1543517660.3255322,-2.0,-1.0,-2.0,0.0,-1.0,-4.0,1.0,2.0,-0.48162841796875,-0.01873779296875,-0.01177978515625,0.8760986328125,0.0458984375,-0.88818359375,0.56982421875
1543517660.34752,0.0,1.0,1.0,0.0,-4.0,-5.0,-4.0,0.0,-0.48162841796875,-0.01873779296875,-0.01177978515625,0.8760986328125,0.044921875,-0.89599609375,0.57080078125
1543517660.3615112,-1.0,0.0,-4.0,-3.0,3.0,0.0,3.0,0.0,-0.4815673828125,-0.01873779296875,-0.01177978515625,0.8760986328125,0.04541015625,-0.89208984375,0.56982421875
1543517660.3685074,0.0,-3.0,-9.0,-4.0,1.0,0.0,-6.0,-5.0,-0.4815673828125,-0.01873779296875,-0.01177978515625,0.8760986328125,0.041015625,-0.8857421875,0.57568359375
1543517660.3854985,1.0,2.0,-3.0,2.0,-3.0,-5.0,5.0,3.0,-0.4815673828125,-0.01873779296875,-0.01177978515625,0.8760986328125,0.041015625,-0.8857421875,0.57568359375
1543517660.4074852,-2.0,-1.0,0.0,-1.0,6.0,-1.0,-3.0,-1.0,-0.4815673828125,-0.01873779296875,-0.01171875,0.8760986328125,0.03955078125,-0.892578125,0.56787109375
1543517660.4214773,0.0,1.0,11.0,3.0,6.0,1.0,0.0,-1.0,-0.4815673828125,-0.0186767578125,-0.01171875,0.8760986328125,0.04296875,-0.89208984375,0.56884765625
1543517660.4304724,-1.0,-1.0,4.0,1.0,-7.0,-4.0,-4.0,-2.0,-0.4815673828125,-0.0186767578125,-0.01171875,0.8760986328125,0.04443359375,-0.88818359375,0.56201171875
1543517660.4454646,0.0,-3.0,-8.0,-10.0,-2.0,0.0,0.0,2.0,-0.4815673828125,-0.0186767578125,-0.01171875,0.8760986328125,0.04443359375,-0.88818359375,0.56201171875
1543517660.4674506,-4.0,-1.0,0.0,3.0,-5.0,1.0,-6.0,-7.0,-0.481689453125,-0.01898193359375,-0.011474609375,0.87603759765625,0.04248046875,-0.89697265625,0.560546875
1543517660.483441,1.0,0.0,0.0,-2.0,-5.0,-6.0,-3.0,0.0,-0.4815673828125,-0.01934814453125,-0.01123046875,0.8760986328125,0.0458984375,-0.88427734375,0.5615234375
1543517660.4894383,-2.0,-7.0,-1.0,-3.0,-4.0,-4.0,-6.0,-3.0,-0.48162841796875,-0.0196533203125,-0.01116943359375,0.8760986328125,0.0537109375,-0.87353515625,0.56494140625
1543517660.5054293,-1.0,0.0,-3.0,1.0,4.0,-1.0,-2.0,-2.0,-0.48162841796875,-0.0196533203125,-0.01116943359375,0.8760986328125,0.0537109375,-0.87353515625,0.56494140625
1543517660.5274172,1.0,-3.0,9.0,3.0,1.0,3.0,-3.0,-2.0,-0.48193359375,-0.019775390625,-0.01116943359375,0.87591552734375,0.0546875,-0.88671875,0.57275390625
1543517660.5414088,-3.0,-5.0,-29.0,-6.0,-12.0,-2.0,-1.0,-1.0,-0.48211669921875,-0.01953125,-0.01123046875,0.87579345703125,0.046875,-0.9033203125,0.57275390625
1543517660.550403,-2.0,0.0,2.0,6.0,7.0,2.0,-1.0,-6.0,-0.48211669921875,-0.01953125,-0.01123046875,0.87579345703125,0.04345703125,-0.8955078125,0.56640625
1543517660.565394,1.0,2.0,25.0,10.0,-5.0,7.0,6.0,-1.0,-0.48211669921875,-0.01953125,-0.01123046875,0.87579345703125,0.04345703125,-0.8955078125,0.56640625
1543517660.5874374,-17.0,-10.0,-3.0,-12.0,-2.0,-7.0,-2.0,-4.0,-0.482177734375,-0.0198974609375,-0.01104736328125,0.87579345703125,0.04638671875,-0.8974609375,0.56396484375
1543517660.601376,2.0,-3.0,9.0,-1.0,1.0,2.0,-12.0,4.0,-0.4822998046875,-0.0205078125,-0.0106201171875,0.87567138671875,0.04443359375,-0.89599609375,0.56103515625
1543517660.609371,1.0,-2.0,3.0,-3.0,0.0,-4.0,2.0,1.0,-0.48248291015625,-0.0213623046875,-0.01025390625,0.8756103515625,0.0537109375,-0.88818359375,0.54833984375
1543517660.6253617,-9.0,-10.0,-14.0,-9.0,-13.0,-6.0,21.0,-2.0,-0.48248291015625,-0.0213623046875,-0.01025390625,0.8756103515625,0.0537109375,-0.88818359375,0.54833984375
1543517660.6473489,3.0,5.0,1.0,3.0,10.0,0.0,-1.0,8.0,-0.4827880859375,-0.0220947265625,-0.00982666015625,0.87542724609375,0.05126953125,-0.8955078125,0.5654296875
1543517660.6543627,-1.0,-5.0,-11.0,-6.0,-7.0,-4.0,-9.0,-1.0,-0.483154296875,-0.02264404296875,-0.009765625,0.87518310546875,0.04833984375,-0.8818359375,0.56689453125
1543517660.6613407,3.0,3.0,1.0,1.0,-5.0,2.0,27.0,22.0,-0.483154296875,-0.02264404296875,-0.009765625,0.87518310546875,0.04833984375,-0.8818359375,0.56689453125
1543517660.670334,-1.0,-3.0,6.0,0.0,-2.0,-3.0,-5.0,0.0,-0.483154296875,-0.0228271484375,-0.0096435546875,0.87518310546875,0.04296875,-0.87158203125,0.5673828125
1543517660.6853325,1.0,0.0,4.0,2.0,4.0,-3.0,-18.0,-11.0,-0.483154296875,-0.0228271484375,-0.0096435546875,0.87518310546875,0.04296875,-0.87158203125,0.5673828125
1543517660.707366,4.0,1.0,-16.0,0.0,1.0,-5.0,21.0,10.0,-0.48345947265625,-0.02276611328125,-0.00982666015625,0.875,0.05419921875,-0.875,0.5712890625
1543517660.721311,-4.0,0.0,2.0,-6.0,-3.0,-6.0,-36.0,-14.0,-0.48382568359375,-0.02264404296875,-0.010009765625,0.87481689453125,0.0517578125,-0.89794921875,0.56396484375
1543517660.7313,5.0,4.0,11.0,5.0,-8.0,3.0,31.0,2.0,-0.48382568359375,-0.02264404296875,-0.010009765625,0.87481689453125,0.04931640625,-0.90673828125,0.564453125
1543517660.7452912,-2.0,1.0,5.0,7.0,-2.0,1.0,-24.0,-13.0,-0.48382568359375,-0.02264404296875,-0.010009765625,0.87481689453125,0.04931640625,-0.90673828125,0.564453125
1543517660.7672791,-2.0,-3.0,-9.0,2.0,-5.0,2.0,11.0,0.0,-0.4840087890625,-0.02301025390625,-0.00994873046875,0.87469482421875,0.04345703125,-0.900390625,0.54248046875
1543517660.7812705,-3.0,-2.0,6.0,3.0,2.0,2.0,15.0,-10.0,-0.48406982421875,-0.0235595703125,-0.009765625,0.8746337890625,0.04443359375,-0.8876953125,0.5625
1543517660.7902648,1.0,-4.0,-17.0,-2.0,4.0,5.0,-6.0,14.0,-0.48419189453125,-0.02398681640625,-0.0096435546875,0.87457275390625,0.04638671875,-0.884765625,0.56103515625
1543517660.8052561,1.0,1.0,22.0,4.0,5.0,-11.0,-65.0,-43.0,-0.48419189453125,-0.02398681640625,-0.0096435546875,0.87457275390625,0.04638671875,-0.884765625,0.56103515625
1543517660.827244,0.0,1.0,-17.0,-4.0,-1.0,3.0,28.0,4.0,-0.48480224609375,-0.02435302734375,-0.009765625,0.87420654296875,0.05419921875,-0.89990234375,0.55419921875
1543517660.85023,-8.0,-5.0,5.0,-9.0,-3.0,-3.0,-44.0,-30.0,-0.4857177734375,-0.02490234375,-0.00970458984375,0.8736572265625,0.04443359375,-0.919921875,0.54736328125
1543517660.8652225,6.0,2.0,-14.0,12.0,1.0,-1.0,65.0,34.0,-0.4852294921875,-0.02520751953125,-0.00970458984375,0.87396240234375,0.0546875,-0.86767578125,0.568359375
1543517660.88725,-3.0,-2.0,-19.0,1.0,-4.0,-5.0,-15.0,-24.0,-0.48590087890625,-0.02532958984375,-0.0098876953125,0.87359619140625,0.0576171875,-0.892578125,0.5615234375
1543517660.9101977,-6.0,-1.0,17.0,-9.0,-1.0,-3.0,-24.0,2.0,-0.48675537109375,-0.0257568359375,-0.00994873046875,0.87310791015625,0.060546875,-0.92626953125,0.55712890625
1543517660.926189,-2.0,-6.0,-20.0,0.0,-1.0,-2.0,-29.0,19.0,-0.48638916015625,-0.02606201171875,-0.01007080078125,0.873291015625,0.05859375,-0.8935546875,0.552734375
1543517660.9481936,2.0,5.0,21.0,-8.0,5.0,2.0,-32.0,-20.0,-0.48675537109375,-0.02667236328125,-0.00982666015625,0.873046875,0.05126953125,-0.91064453125,0.5439453125
1543517660.970162,8.0,2.0,4.0,4.0,3.0,12.0,108.0,73.0,-0.486572265625,-0.02740478515625,-0.00970458984375,0.8731689453125,0.05615234375,-0.87353515625,0.55419921875
1543517660.9841728,-3.0,-4.0,-6.0,-16.0,-5.0,-7.0,-35.0,-8.0,-0.48712158203125,-0.02801513671875,-0.009765625,0.872802734375,0.06396484375,-0.89208984375,0.5517578125
1543517660.991152,5.0,-4.0,2.0,31.0,-2.0,-3.0,50.0,28.0,-0.48699951171875,-0.0283203125,-0.0101318359375,0.87286376953125,0.076171875,-0.88671875,0.5830078125
1543517661.007142,-1.0,4.0,20.0,0.0,-6.0,-1.0,-12.0,6.0,-0.48699951171875,-0.0283203125,-0.0101318359375,0.87286376953125,0.076171875,-0.88671875,0.5830078125
1543517661.0301275,4.0,1.0,-21.0,3.0,17.0,4.0,13.0,-11.0,-0.4876708984375,-0.0281982421875,-0.01043701171875,0.87249755859375,0.05078125,-0.9072265625,0.5546875
1543517661.0441735,2.0,-1.0,-12.0,6.0,-6.0,6.0,78.0,5.0,-0.487548828125,-0.0284423828125,-0.01055908203125,0.87255859375,0.0576171875,-0.90380859375,0.5673828125
1543517661.0511353,0.0,5.0,18.0,1.0,6.0,2.0,-12.0,6.0,-0.48760986328125,-0.02880859375,-0.01055908203125,0.87249755859375,0.05810546875,-0.88525390625,0.5419921875
1543517661.0681255,0.0,-3.0,-2.0,-16.0,-7.0,-3.0,-18.0,4.0,-0.48760986328125,-0.02880859375,-0.01055908203125,0.87249755859375,0.05810546875,-0.88525390625,0.5419921875
1543517661.0901334,-2.0,2.0,9.0,-3.0,-5.0,-6.0,-31.0,-23.0,-0.48736572265625,-0.02923583984375,-0.010498046875,0.87261962890625,0.068359375,-0.896484375,0.556640625
1543517661.1041398,-4.0,-6.0,-5.0,-2.0,-4.0,-2.0,-8.0,-7.0,-0.487060546875,-0.02923583984375,-0.0107421875,0.872802734375,0.0634765625,-0.8857421875,0.56201171875
1543517661.1110828,-2.0,-3.0,15.0,-2.0,-11.0,5.0,13.0,7.0,-0.48736572265625,-0.02923583984375,-0.0108642578125,0.87261962890625,0.05615234375,-0.90576171875,0.55126953125
1543517661.128074,-2.0,-2.0,2.0,7.0,-2.0,-4.0,-21.0,-5.0,-0.48736572265625,-0.02923583984375,-0.0108642578125,0.87261962890625,0.05615234375,-0.90576171875,0.55126953125
1543517661.1501105,-6.0,-8.0,-21.0,-15.0,-10.0,-5.0,-20.0,-9.0,-0.48687744140625,-0.0291748046875,-0.01092529296875,0.8729248046875,0.06103515625,-0.89111328125,0.56201171875
1543517661.1640892,1.0,3.0,11.0,7.0,4.0,3.0,0.0,0.0,-0.48681640625,-0.0291748046875,-0.01092529296875,0.8729248046875,0.0615234375,-0.89404296875,0.5654296875
1543517661.1710656,-1.0,0.0,-4.0,-5.0,-4.0,2.0,20.0,11.0,-0.486572265625,-0.029052734375,-0.01104736328125,0.873046875,0.0615234375,-0.90576171875,0.56005859375
